Compound,HMDB,KEGG,High.Confidence.Annotation,Compound.Name,Retention.Time,m.z,Cluster..if.DA.,Putative.Chemical.Class,Adduct,hmdb_name,hmdb_theoretical_mz,hmdb_mz_diff,hmdb_ppm_error,hmdb_best_adduct,hmdb_match_quality,hmdb_match_strategy,kegg_theoretical_mz,kegg_mz_diff,kegg_ppm_error,kegg_best_adduct,kegg_match_quality,kegg_match_strategy
HILIC-neg_Cluster_0480: 1-3-7-trimethylurate,HMDB0002123,C16361,True,1-3-7-trimethylurate,3.83278,209.067885,,Imidazopyrimidines,[M-H]-,"1,3,7-Trimethyluric acid",209.068014,-0.000129,0.62,[M-H]-,good,iso+0.000_loss-0.000,209.068024,-0.000139,0.66,[M-H]-,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0245: 1-methylguanine,HMDB0003282,C04152,True,1-methylguanine,5.196976,166.071783,,Imidazopyrimidines,[M+H]+,1-Methylguanine,166.072336,-0.000553,3.33,[M+H]+,good,iso+0.000_loss-0.000,,,,,no_id,
HILIC-pos_Cluster_0110: 1-methylnicotinamide,HMDB0000699,C02918,True,1-methylnicotinamide,8.138234,137.070572,,Pyridinecarboxylic acids and derivatives,[M+H]+,1-Methylnicotinamide,137.071488,-0.000916,6.68,[M]+,borderline,iso+0.000_loss-0.000,137.0715,-0.000928,6.77,[M]+,borderline,iso+0.000_loss-0.000
"HILIC-neg_Cluster_0622: 1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid",HMDB0037942,,True,"1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid",3.809685,229.097974,5.0,Harmala alkaloids,[M-H]-,"(1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylic acid",229.098252,-0.000278,1.21,[M-H]-,good,iso+0.000_loss-0.000,,,,,no_id,
"C18-neg_Cluster_0183: 1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid",HMDB0032102,,True,"1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid",1.282739,259.072196,2.0,,[M-H]-,"1,2,3,4-Tetrahydro-b-carboline-1,3-dicarboxylic acid",259.072431,-0.000235,0.91,[M-H]-,good,iso+0.000_loss-0.000,,,,,no_id,
C18-neg_Cluster_0393: 12.13-diHOME,HMDB0004705,C14829,True,12.13-diHOME,10.162391,313.238314,,Long-chain fatty acids,[M-H]-,"12,13-DHOME",313.238434,-0.00012,0.38,[M-H]-,good,iso+0.000_loss-0.000,313.238424,-0.00011,0.35,[M-H]-,good,iso+0.000_loss-0.000
C18-neg_Cluster_0530: 13-docosenoate,HMDB0002068,C08316,True,13-docosenoate,16.986972,337.310869,,Very long-chain fatty acids,[M-H]-,Erucic acid,337.310636,0.000233,0.69,[M+FA-H]-,good,iso+0.000_loss-46.005,337.310655,0.000214,0.63,[M+FA-H]-,good,iso+0.000_loss-46.005
HILIC-neg_Cluster_0032: 2-aminobutyric acid,HMDB0000452,C02356,True,2-aminobutyric acid,3.037586,102.056011,,L-alpha-amino acids,[M-H]-,L-alpha-Aminobutyric acid,102.056053,-4.2e-05,0.41,[M-H]-,good,iso+0.000_loss-0.000,102.056024,-1.3e-05,0.13,[M-H]-,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0728: 2-deoxyadenosine,HMDB0000101,C00559,True,2-deoxyadenosine,5.144115,252.108028,1.0,Purine nucleosides,[M+H]+,Deoxyadenosine,252.109115,-0.001087,4.31,[M+H]+,good,iso+0.000_loss-0.000,252.109076,-0.001048,4.16,[M+H]+,good,iso+0.000_loss-0.000
HILIC-neg_Cluster_0113: 2-hydroxy-3-methylpentanoic acid /  leucinic acid,,,False,2-hydroxy-3-methylpentanoic acid /  leucinic acid,3.663407,131.071198,3.0,Hydroxy fatty acids,[M-H]-,,,,,,no_id,,,,,,no_id,
HILIC-neg_Cluster_0169: 2-hydroxyglutarate,HMDB0059655,C02630,True,2-hydroxyglutarate,7.205254,147.029673,,Hydroxy acids and derivatives,[M-H]-,2-Hydroxyglutarate,147.029897,-0.000224,1.53,[M-H]-,good,iso+0.000_loss-0.000,147.029924,-0.000251,1.71,[M-H]-,good,iso+0.000_loss-0.000
C18-neg_Cluster_0219: 2-hydroxyhexadecanoate,HMDB0031057,,True,2-hydroxyhexadecanoate,13.929959,271.228079,11.0,,[M-H]-,2-Hydroxyhexadecanoic acid,271.227869,0.00021,0.77,[M-H]-,good,iso+0.000_loss-0.000,,,,,no_id,
C18-neg_Cluster_0144: 2-hydroxymyristic acid,HMDB0002261,,True,2-hydroxymyristic acid,12.518107,243.196061,11.0,Long-chain fatty acids,[M-H]-,2-Hydroxymyristic acid,243.196,6.1e-05,0.25,[M+FA-H]-,good,iso+0.000_loss-46.005,,,,,no_id,
HILIC-pos_Cluster_0114: 2-hydroxyphenethylamine,HMDB0001065,C02735,True,2-hydroxyphenethylamine,6.220723,138.090932,3.0,Organonitrogen compounds,[M+H]+,2-Hydroxyphenethylamine,138.09134,-0.000408,2.95,[M+H]+,good,iso+0.000_loss-0.000,138.091376,-0.000444,3.22,[M+H]+,good,iso+0.000_loss-0.000
HILIC-neg_Cluster_0161: 2-methylglutaric acid,HMDB0000422,C02930,True,2-methylglutaric acid,7.166747,145.050329,,Methyl-branched fatty acids,[M-H]-,2-Methylglutaric acid,145.050064,0.000265,1.83,[M+FA-H]-,good,iso+0.000_loss-46.005,145.049576,0.000753,5.19,[M+H]+,borderline,iso+0.000_loss-0.000
HILIC-neg_Cluster_0220: 3-methyladipate-pimelate,HMDB0000555,,False,3-methyladipate-pimelate,7.313638,159.065982,3.0,Medium-chain fatty acids,[M-H]-,3-Methyladipic acid,159.065714,0.000268,1.69,[M+FA-H]-,good,iso+0.000_loss-46.005,,,,,no_id,
HILIC-pos_Cluster_0272: 3-methylhistidine,HMDB0000479,C01152,True,3-methylhistidine,9.833021,170.091783,,Histidine and derivatives,[M+H]+,3-Methylhistidine,170.092403,-0.00062,3.64,[M+H]+,good,iso+0.000_loss-0.000,170.092376,-0.000593,3.49,[M+H]+,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0254: 3-methylxanthine,HMDB0001886,C16357,True,3-methylxanthine,3.279602,167.055805,,Imidazopyrimidines,[M+H]+,3-Methylxanthine,167.056351,-0.000546,3.27,[M+H]+,good,iso+0.000_loss-0.000,167.056376,-0.000571,3.42,[M+H]+,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0150: 4-guanidinobutanoic acid,HMDB0003464,C01035,True,4-guanidinobutanoic acid,7.207806,146.091958,,Gamma amino acids and derivatives,[M+H]+,4-Guanidinobutanoic acid,146.092403,-0.000445,3.04,[M+H]+,good,iso+0.000_loss-0.000,146.092376,-0.000418,2.86,[M+H]+,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0177: 4-hydroxy-3-methylacetophenone,HMDB0059824,,True,4-hydroxy-3-methylacetophenone,1.695767,151.074856,,Alkyl-phenylketones,[M+H]+,4-Hydroxy-3-methylacetophenone,151.075356,-0.0005,3.31,[M+H]+,good,iso+0.000_loss-0.000,,,,,no_id,
HILIC-neg_Cluster_0079: 4-hydroxybenzaldehyde,HMDB0011718,C00633,True,4-hydroxybenzaldehyde,2.527884,121.029504,,Hydroxybenzaldehydes,[M-H]-,4-Hydroxybenzaldehyde,121.029503,1e-06,0.0,[M-H]-,good,iso+0.000_loss-0.000,121.029524,-2e-05,0.17,[M-H]-,good,iso+0.000_loss-0.000
C18-neg_Cluster_0004: 4-hydroxystyrene,HMDB0004072,C05627,True,4-hydroxystyrene,2.554039,119.048864,,Styrenes,[M-H]-,4-Hydroxystyrene,119.04967,-0.000806,6.77,[M+FA-H]-,borderline,iso+0.000_loss-46.005,119.049655,-0.000791,6.64,[M+FA-H]-,borderline,iso+0.000_loss-46.005
HILIC-neg_Cluster_0084: 4-methylcatechol,HMDB0000873,C06730,True,4-methylcatechol,1.366308,123.045022,1.0,Phenols,[M-H]-,4-Methylcatechol,123.045153,-0.000131,1.07,[M-H]-,good,iso+0.000_loss-0.000,123.045124,-0.000102,0.83,[M-H]-,good,iso+0.000_loss-0.000
HILIC-neg_Cluster_0133: 4-nitrophenol,HMDB0001232,C00870,True,4-nitrophenol,4.081432,138.019547,,Nitrophenols,[M-H]-,4-Nitrophenol,138.019667,-0.00012,0.87,[M-H]-,good,iso+0.000_loss-0.000,138.019624,-7.7e-05,0.56,[M-H]-,good,iso+0.000_loss-0.000
